十碼章,醫院名稱,行政區,地址,連絡電話,座標緯度,座標經度
102020011,高雄市立聯合醫院,64000020,高雄市鼓山區龍水里中華一路976號,(07)5552565,22.6549319,120.2890053
102070020,高雄市立大同醫院,64000070,高雄市前金區中華三路68號,(07)2911101,22.62699,120.297205
102080017,高雄市立民生醫院,64000080,高雄市苓雅區凱旋二路134號,(07)7511131,22.626491,120.323736
102080026,高雄市立凱旋醫院,64000080,高雄市苓雅區凱旋二路130號,(07)7513171,22.6251221,120.3218433
142030019,衛生福利部旗山醫院,64000300,高雄市旗山區大德里中學路60號,(07)6613811,22.880694,120.483277
502030015,國軍高雄總醫院左營分院,64000030,高雄市左營區合群里軍校路553號,(07)5811648,22.700352,120.292231
502080015,國軍高雄總醫院附設民眾診療處,64000080,高雄市苓雅區建軍路5號,(07)7496751,22.6259888,120.3397398
542020011,國軍高雄總醫院岡山分院附設民眾診療服務處,64000190,高雄市岡山區大義二路1號,(07)6250919,22.789456,120.285874
602030026,高雄榮民總醫院,64000030,高雄市左營區福山里大中一路386號,(07)3422121,22.677697,120.322257
902080013,阮綜合醫療社團法人阮綜合醫院,64000080,高雄市苓雅區鼓中里成功一路162號,(07)3351121,22.615583,120.297377
907030013,廣聖醫療社團法人廣聖醫院,64000300,高雄市旗山區中華路618號,(07)6622391,22.884981,120.485444
907320012,愛仁醫療社團法人愛仁醫院,64000050,高雄市三民區民族一路51號,(07)3115159,22.641817,120.31384
907350010,乃榮醫療社團法人乃榮醫院,64000080,高雄市苓雅區三多二路226號,(07)7613151,22.6187484,120.3166033
942020019,高雄市立岡山醫院（委託秀傳醫療社團法人經營）,64000190,高雄市岡山區岡山里壽天路12號,(07)6222131,22.796612,120.294443
1102110011,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),64000110,高雄市小港區山明里山明路482號,(07)8036783,22.567467,120.363369
1107120017,義大醫療財團法人義大癌治療醫院,64000210,高雄市燕巢區角宿里義大路21號,(07)6150022,22.766469,120.364783
